Date,Midcoast,JW Group,Heartbreakers FC,The Real Portland Timbers,One Love FC,Duppy Conquerors,Thunder FC,The Escape Room,Farmers FC,Lone Pine,U Gonna Learn Today,Portland Phoenix FC,Old Port FC,Yankee Ford Sporting Club,Carlos Auto Repair,Baxter Pines FC
2022-08-18,,,,,33.82369698849759,35.7075516729483,160.9006102511934,38.4676741334449,48.83518764130351,34.60742784088914,39.42339086679254,47.70351009868706,,,,
2022-08-23,,,,,33.82369698849759,35.7075516729483,160.88518415758213,38.4676741334449,45.71255553256883,34.094008255223336,38.63901011154618,47.70351009868706,,,,
2022-08-25,,,,,32.728867495009716,34.35355235383468,160.88518415758213,36.757372646315375,45.71255553256883,34.094008255223336,38.63901011154618,44.49543297112087,,,,
2022-08-30,,,,,31.67940978666772,34.35355235383468,160.88518415758213,35.242662304778854,45.71255553256883,32.951951562968794,38.63901011154618,41.86746457284854,,,,
2022-09-01,,,,,31.67940978666772,33.634987916162174,160.47790918211393,35.242662304778854,43.94170538778241,32.951951562968794,37.15725691878405,41.86746457284854,,,,
2022-09-06,,,,,31.67940978666772,33.634987916162174,158.56077611945372,35.242662304778854,43.10268693965635,32.951951562968794,36.669257605139684,38.741408000391374,,,,
2022-09-08,,,,,31.014166469967176,32.8267798826548,158.56077611945372,34.47717194666381,43.10268693965635,32.33680702964805,36.669257605139684,38.741408000391374,,,,
2022-09-13,,,,,31.014166469967176,32.16247122930634,158.56077611945372,34.47717194666381,43.10268693965635,31.704447660684213,36.22460694192299,38.207969877195524,,,,
2022-09-15,,,,,30.559435830086144,32.16247122930634,158.67932806911497,33.52232585474795,41.78661486994316,31.704447660684213,36.22460694192299,38.207969877195524,,,,
2022-09-27,,,,,30.559435830086144,31.445836265816972,157.30062249744933,32.05464568244252,40.14222834925562,31.704447660684213,36.22460694192299,38.207969877195524,,,,
2022-09-29,,,,,29.945256937641137,31.445836265816972,157.30062249744933,32.05464568244252,40.14222834925562,31.011290639076485,35.81368523062955,37.7169537910825,,,,
2022-10-04,,,,,29.945256937641137,31.445836265816972,157.30062249744933,31.45954865492393,38.91758403411725,30.691676941165134,35.290727092053864,37.7169537910825,,,,
2022-10-11,,,,,29.945256937641137,31.445836265816972,157.30062249744933,31.45954865492393,38.32398353871803,30.691676941165134,34.861237388367215,37.7169537910825,,,,
